"id","Mark","Text",
"1","2","Show is great, but it's the censored version on Amazon Prime.
Most episodes are 4-6min shorter because of all the censoring. Not sure why they would, but it's pretty lame to do so and not make it clearly stated. This show deserves to be seen as the creators intended it, I will get the the rest of the seasons elsewhere.",
"2","2","It never fails to amaze me what people have become comfortable being entertained by these days. Reviewers have even used words like "realistic" to describe this modern day impression of viking life. What a joke
First thing i noticed was the "modern housewife" in viking times, and the scripted all too typical modern husband wife dynamic. It's so detached and common in every hollywood movie it's just a boring train wreck to watch. This is done obviously to please women and soften men, so watching this take place in a show about vikings i find incredibly ironic.
Then of course there are the over dramatic, over emphasized facial expressions and poses of modern day hollywood actors "going viking", that are always accompanied by stupid unrealistic over the top dramatic choreographed fight scenes, of which is the first thing you see as you begin this series.
It's almost embarrassing to watch the product of totally detached entertainment people. Like the just cheesy-ass way they take how their impression of modern life and interaction is, and give it a Viking theme. All the characters i found to be just over the top cliche versions of what people in hollywood think a Viking is. Even the scene when the Viking takes the slave Priest home, and the kids go to inspect him. That scene is an example... so "gay".
But the most over the top stupid pathetic scene of all, that told me enough is enough this is totally stupid, is the scene where the husband and wife Viking ask the priest slave to join them in bed... REALLY? I mean how absolutely unnecessarily stupid. What a gratuitous pointless scene, which was nothing more than a cherry on top of all the 'jabs' taken at the God of the Bible in all the scenes beforehand. I can see where that's all going... I'm sure a few more episodes in and i would have been treated to a homosexual relationship between the Priest and the husband Viking, and all the fun "progressive" modern day drama that follows. I could also be missing out in Season 3 the "transgender" Viking episode, where the old stiff practices of tradition are broke off like chains as we witness the liberated Viking in his full feminine glory. Just give it time, if it hasn't been done already.
This show is just typical hollywood propaganda garbage disguised behind a Viking theme, and reinforced over and over with stupid "modern wife and family dynamic" scenes breaking up standard 'out of the hollywood manual' over the top "Vikings". I recommend avoiding this crap and getting a good historically accurate book instead.",
"3","2","Terrible show. I initially couldn't get thru first episode and stopped watching. I gave it a second try and watched thru the seventh episode. As it goes on, it just gets worse. Lead actor is worst of all, but there all pretty bad. Ridiculous story lines and lack of authenticity. Dumbed down for shallow audience seeking blood and guts with no substance. Game of Thrones, its not!",
"4","2","Am incredible piece of eternally arrogant American omniscience about other people's history, when their own consists of just three miserable centuries. Centuries, filled with greed (and all the treaties with American native people shamefully broken). Waste of time - there is no story there, in that epic example of well-paid stupidity, plus another spit in Christian story, in particular. Shame!",
"5","2","I really wanted to like this show and there were some good elements, but overall, it must didn't measure up and I can't recommend it. While the cinematography and costuming were very good, the dialogue and acting were very bad. The characters were very one dimensional and story lines predictable. The whole series just didn't seem to come together and the dialogue bounced from being laughable to just plain painful. I forced myself to watch the entire series, but I definitely will not be viewing the second. It's really too bad because there is a lot of potential here. I did like the opening music.",
"6","3","I hope I'm not one of these people who's watched something with high expectation only leading to disappointment. That said, I'm more than disappointed: I was so irritated watching this crap I'm probably going to have to boycott all new animes coming out. 
I just recently finished watching Monster and found that quite disappointing too. Attack on Titan seemed like a fresher, faster paced action packed alternative to the pedestrian paced Monster anime.
However, I was able to watch all 74 episodes of Monster. I couldn't tolerate the dialogue in Attack on Titan any longer than episode 11.
I should've relied on my gut instinct how cliché this was all going to be when seeing the typical anime intro. 
The idea is very good and fascinating at first. Big giant humanoids wiping out mankind. I love the concept. However, the last three episodes just had me cursing at my laptop with "FFS will you get on with it?" or "Oh shut up with the screaming." I started off watching with subtitles but soon found dubbing. Both are painful to listen to.
Sigh.... I miss the gritty mature atmosphere from mid 80s early 90's cyberpunk era anime films and series.",
"7","1","The tragedy of the doomed ship Titanic has inspired many books and movies. The battle between nature and technology always caught man's imagination. The latest film concerning this tragedy in the Atlantic Ocean was written and directed by famous action movie filmmaker James Cameron. The story of "Titanic" involves two fictional characters (Leonardo DiCaprio and Kate Winslet) from different backgrounds (one is a hobo-artist, the other is an aristocrat) and how their love triumphs over societal barriers and the tragedy of a sinking ship that they happen to be on.
First of all, although using a historical name, this movie had little regard to history. The plot was built around two fictional lovers, French diamond, and treasure hunters. The deaths of over a thousand of people on the greatest luxury ship of its time became a mere background. Many historical facts were simply forgotten. Where was the radio operator that ignored the iceberg warnings? Why was there no mention of the ship that was only 5 miles away from the Titanic but did not come to the rescue because its captain failed to identify the distress signal? Omitting these facts is an insult to the tragedy. And what was the point of flavoring this historical disaster with fictional cheesy romance when the story is already as sad as it is.
The overall plot was rather shallow; rich equals greed and corruption, poverty equals compassion and heroism. It is very ironic to spend $200 million to make a movie about how money corrupts. There was absolutely no human side shown in anti-heroes. It seemed like Billy Zane was playing a part of the devil. Casting was also very poor. If DiCaprio was 2 inches shorter than Winslet, you could swear she was his baby-sitter. The length of the movie was unnecessarily stretched to over 3 hours. First hour and the half was wasted on establishing the relationships between the characters that were known to audience long before they went to theater and the dialogue that was used to do so made it even worse. Hearing corny pick up lines such as "I see you" and "This is my side of the ship" generated more pain than the screams of drowning people. Also, jokes were too abundant and rather lame.
"Titanic" did involve some moving scenes such as the part when the musicians were playing while the ship was sinking but they were no way near anything original. The best thing about this film were its special effects, and that is the only thing that truly deserved an award.
Although this film lacked artistical value in overall sense, the public could not resist a sentimental story starring Romeo (DiCaprio), and so the movie became a success. Now it is safe to say that the industry will be less hesitant to invest large amounts of money in a single motion picture, so it seems that "Titanic" did achieve something after all.",
"8","1","The producers and writers of Titanic obviously believed they'd bore and alienate the targeted teen and twenty-something audience to the point of losing them if the characters had the attitudes, mannerisms and style of speech that was appropriate for the time, so they had Jack (Leonardo Dicaprio) and Rose (Kate Winslett) speaking contemporary dialogue in a contemporary style, or at least contemporary for '97. A young man in 1912 would not say, "You seem more like an indoor girl." Aside from a certain hostile type of mental patient or the most outrageous and anti-social bohemian agitator, young adults in 1912 did not repeatedly tell their elders to shut up. The creators of the film are counting on what they perceive to be the teen and young adult's lack of knowledge or interest in the values and social customs of the very early 20th century. Since they want the audience to get swept away by the drama and romance of Jack and Rose they want them to relate to everything about them. I remember that this was billed as somewhat of a a fantasy re-imagining of a real event, but this type of historical revisionism, I think, in which human behavior is simply made more familiar, is an insult to any viewer with a 3-digit I.Q. One continuity problem that really gets me is how, when the ship is sinking and Jack and Rose are still inside, the water level is lower and the water becomes calmer around them every time they have a conversation. Again, the makers of the film don't want the reality of the disaster to encroach on, or distract us from, the passionate young romance they're trying to draw us into. Clearly the creators of the film think that the romance is a bigger draw for a major segment of the audience than the story of an enormous disaster that killed over 1,500 people and I'm sure they're right, but often when true and fictional stories exist in the same movie, one weakens the impact of the other, and it's certainly true in this case. I haven't seen the new 3D version but I assume the only change is the 3D effect. This is a bland, pandering, intelligence-insulting and epically overrated epic.",
"9","2","I've just had the evidence that confirmed my suspicions. A bunch of kids, 14 to 22 put on the DVD of "Titanic" on a fantastic state of the art mega screen home entertainment type deal. Only two of them had actually seen it before. But they all had seen the moment of Kate, Leo and Celine Dion so many times that most of them felt they had seen the whole movie. Shortly after the epic started, they started to get restless, some of them left asking the others -- "call us when the iceberg appears" Over an hour and a half into the movie, only the two girls who had seen the movie before, were still there. They started shouting: iceberg, iceberg. A stampede followed, they all came back to see the sinking of the Titanic. They sat open mouthed, emitting Ohs and far outs. So, just like I thought when the movie first burst into the scene. What is this? One and a half hours waiting for the bloody thing to sink but what about the rest of the of it. Dr. Zivagho, for instance, had a similar running time, but think how much takes place in that film within the same period of time. In "Titanic" Leo teaches Kate how to spit. Look at the faces and hands of the, supposedly, creme de la creme in the first class dining room of the ship. Look at the historical details, if you can find them. The storyline is so thin that they have to introduce guns and shootings in a ship that is about to sink. The real sinking here is of film standards. All the efforts are focus on special effects and opening week ends. The film went on to become the highest grossing movie of all time so, what do I know?",
"10","1","Многие писали что это «легкий» «веселый» фильм о человеческих взаимоотношениях и вроде бы как «никакой пропаганды» сексуальных извращений в фильме нет — это ЛОЖЬ.
Все в этом фильме работает только на одну идею — «свободу» содомитам… И «исторический» эпилог этому только самое явное подтверждение.
Так же хорошо раскрыта тема того, как можно успешно сделать «прививку от нетерпимости к извращениям» морально здоровым и устойчивым людям, находящимся в ОЧЕНЬ трудной социально-экономической ситуации.
Кстати, у меня вообще возникло ощущение, что вся «компания» Тетчер по отношению к шахтерам и была организованна ТОЛЬКО для ради тех последствий, которые оглашены в эпилоге фильма. И это вполне может быть не моей личной паранойей, если вспомнить английский же фильм 2014 года» «71» (т. е. методы и средства работы британских спецслужб).",
"11","4","Честно говоря, не ждала этого фильма, и не знаю этих героев (в основном), но стадное чувство потянуло в кинотеатр. Ну и конечно Джаред. 
Много писать не буду, можно описать кратко — это просто плохо. Скучно. 
К сожалению, ни одного героя я так и не запомнила (девушка, конечно, на фоне своих партнеров выделяется, Уилл Смит — на своем уровне, Джаред… за такое время и слона трудно сыграть). Такие уж они, эти герои. Незапоминающиеся. Конфликт какой-то супер-надуманный, сами создали проблему — сами пошли ее решать. Саундтрек такой же незапоминающийся, как и герои. Юмора нет. Были какие-то попытки. Ну не смешно. Совсем. Спецэффекты и в фильмах десятилетней давности были спецэффектней, чем в Отряде. Фильм вызвал только недоумение, смех и жуткое раздражение. ",
"12","-","Примитивно, банально, безвкусно. Фильм пестрит шаблонами, плоскими шутками, ни одна из которых не вспоминается после просмотра. Сюжет прямолинеен и прост, как мычание, и, несмотря на это, количество неподдающихся логике моментов, поступков персонажей зашкаливает. После того уровня, на который поднял Кристофер Нолан вселенную Бэтмена, этот фильм выглядит динозавром из прошлой эры, где вместо преступного гения очередной монстр (в буквальном смысле — большой и с щупальцами), вместо закрученного сюжета — уйма сцен с перестрелками, а в кульминации — героический, неподдающийся никакому разумному объяснению поступок «самых отъявленных головорезов» во имя страны. Серьезно, в «Неудержимых» Сталоне и то больше смысла было.",
