"id","Mark","Text",
"1","5","The show is mildly entertaining; it is a guy-show with lots of war and intrigue, but the characters are all so deeply flawed that it makes the show difficult to watch at times. The feminist themes are, frankly, so unrealistic historically it is an insult to the audience's intelligence. The show would be much better with out all of the feminist non-sense. Really, guys don't want to see that feminist stuff; take that out, and the show would be much more fun to watch.",
"2","5","The video was great....only problem was we had to watch it on laptop because it set up for European DVD. Our fault, we didn't read the complete ad before we ordered.",
"3","5","I like the show and its plot but the sound really sucks. The back ground miusic is so loud that it drowns out the spoken dialogue. Other wise I would have given the show a 5. We watched it thru season 2 and am watching season 3 now. The sound hasn't improved, but the show is still good.",
"4","5","I'm sorry to say that I watched the 1st three episodes before losing interest. The photography and setting are absolutely spectacular and everything was very well acted, but the dialog and story just did not do much for me. I watched 3 episodes because I realize that it can take time for a story and the characters to develop, but I just didn't see any improvement from the first episode to the third. I really think the writers are to blame for the shortfall. If I get desperate enough for something to watch, I may come back and watch some more episodes, but for now I'm moving on to other options.",
"5","5","A little too dark and depressing for me.
It's hard to pull for the main characters when they are so terrible.
I will not be watching other seasons.",
"6","5","The writing would have to be pretty compelling to keep me interested in a story in which the main protagonist spends the whole first episode plotting to and successfully sailing to England to slaughter and loot an unsuspecting monastery full of completely unarmed, innocent, peaceful monks. This episode failed to meet that standard for me. The acting is pretty strong. The story of the development of new navigation technology was the only interesting element to me. The production values are high. The music has the ubiquitous 2000's soundtrack sound. The hairstyles are a bit silly.",
"7","5","Not terrible at all, but not terribly compelling, either. I suspect different editing would have improved this, but we don't really get behind some motivations and some teases are never answered. But it's pretty.
There are a few nice touches buried in the writing -- Ragnar gets the sunboard from "a wanderer," which an informed viewer can interpret as Odin, which is kind of fun. But that same informed viewer is not going to feel any suspense about whether the party will survive the voyage to mythical England (let's see, it said AD 793 right on the screen, so I think they're going to make it, probably early June). Athelstan's denial of Christ three times is also well done, even if we never see Athelstan deal with that significant reenactment himself.
But the writing is fairly uneven. [minor spoilers follow] Ragnar has two supernatural visions in Ep 1 and then absolutely nothing thereafter. We pass from one antagonist who kills his loyal henchmen for no good reason to another antagonist who kills his loyal henchmen for no good reason, with neither losing popular support for their unstable leadership. The potential for meaty character development -- how will the wife of a dead earl befriend the wife of a new one? -- is often passed over. And really, there's no reason for Ragnar to ask his slave to participate in a threesome (historically improbable, given contemporary views on both M/M sex and male slaves tapping their masters' wives) and then to respect his slave's declining, except for some modern titillation and a consent nod -- but not enough consent to ask that same slave whether he's okay with being ritually sacrificed....
I finished Ep 8 and realized I didn't care that much if I missed Ep 9; I just wasn't invested in the characters. It's disappointing, as I really wanted to like it better.",
"8","5","I'm probably in the minority here, but this show just doesn't do it for me. There are not really any likable characters and poor character development. The story also meanders like a soap opera with betrayals and relational drama that is so predictable that it's annoying. I know that this is a highly rated series. I'm not sure why I couldn't connect with it, but I gave it 9 episodes and I've given up. If you want a good Vikings story, go with "The Last Kingdom" on Netflix. No comparison.",
"9","5","Some care was put into the staging and filming of this series. The circumstances, building, clothes, etc are about as primitive and bedraggled as they probably would have been. However, the opening combat scene completely misses the source of military dominance that made the Norse so feared. They were NOT the better swordsmen, they were just a LOT bigger and stronger warriors. They were a foot bigger than their opponents! The miserable medieval diet produced people who were barely five foot tall. The better agricultural Norse diet, no doubt with some help from the genes, produced people 6 feet tall! The opening scene totally misses this point.",
"10","5","I was hoping for some real background on Viking culture along with some ruling class intrigue and boats. What we are give are Clichèd characters, relationships that aren't fleshed out enough to make sense let alone be interesting enough to continue watching. Oh Well.,",
