"id","Mark","Text",
"1","10","For far too long, history has condensed the story of the Viking people into a comic book saga filled with primitive characters raping, plundering, and wearing funny horns, breastplates, and flaxen braids. Thanks to the History Channel, we have the opportunity to appreciate an engaging, well-acted, fairly accurate picture of these intelligent, spiritual, self-disciplined, and hardy craftsmen, clansmen, and seafarers whose skills and civilization in the 8th and 9th centuries was more advanced than that of much of the European continent. Consummate shipbuilders and navigators, Vikings managed to traverse the deadly seas of the North Atlantic (in open longboats!) to discover North America centuries before Christopher Columbus was even born. They settled much of Ireland, England, Greenland, Russia, and Iceland. The Norsemen didn't manage to accomplish all that they did by being rage-filled, crude, undisciplined savages. This show capably demonstrates the high degree of cooperation among their clan, the rules that governed their communities, their work ethic and egalitarian spirit, strong sense of loyalty, and the abiding sense of justice that is still deep, deep in the Scandanavian DNA right up to today.
During the first millenium, there was lively trade between Scandanavia and Germany, Spain, what is now Russia, and even North Africa. Norsemen were justifiably famous for their craftsmanship in building homes, barns, and other dwellings, for painting and needlework, and in fashioning arts from silver and pewter. They were a spiritual people, as this show depicts, and although their pantheon of gods may seem childish and naive to those of us reared in Judeo-Christian traditions, the Norsemen lived by a spiritual code, believed in an afterlife, and called upon God as they understood Him/Her to protect them and guide them in this life.
Not only does the plot of The Vikings keep us engaged from week to week, the casting is just superb. Travis Fimell dominates the screen as Ragnar, one of the most revered Norse heroes of history. He is perfectly cast and his is a breakout performance. His wife, a Shield Maiden, Lagertha, is played by Kathryn Winnick, again a stroke of casting genius. She manages to combine the nurturing Earth Mother presence with a fierce warrior spirit [much admired in Norse legends] and genuine sexual heat with her husband. Other characters, including Gabriel Byrne, Gustaf Skarsgard etc are equally adept.
I have become a huge fan of this well-plotted and well-acted series and hope that the History Channel powers that be will continue the saga into future seasons.",
"2","10","Michael Hirst is a brilliant story teller and historian. He does his homework and then some to bring these Viking people to life on the History Channel. Travis Fimmel, Katheryn Winnick, & Clive Standen do a brilliant job in making you feel like you know them . . . the curious people who want to see more of the world in any ways they can. The treasure they bring back from their trips is not your typical trinkets. They bring back slaves and make them apart of their people/clan. What they do while on your trips is most disturbing, but each actor makes you want to keep watching to see what else happens. I had to have a few talks with myself while watching this season. The bloody raids, the hard punishment their king gives to their own people, and the like is very graphic and brutal. Travis, Clive, Kathryn, George, Gustaf, and massive cast bring what Michael Hirst has envisioned to life so we the audience have a better understanding what it was like back in the 800 hundreds. I look forward to purchasing S2, S3, S4 and watching S5 this fall.
Travis Fimmel is the perfect leading man for this series. His acting has improved so much over the years. I am so sad to see the TV show "The Beast" with Fimmel and Patrick Swayze come to an end in the spring of 2009. After battling cancer, Swayze died later that year (September) ... in my opinion the show would NOT be the same without Patrick. The two men did an excellent job kicking "bad guy" butt in the 13 episodes in S1. So glad to see Fimmel get another shot at a multiple season show in order to show us, the audience, how much range he is able to do as an actor. Long Live the Vikings!",
"3","10","This is the only second TV series that I've watched since Breaking Bad (the first being Falling Skies, which I liked for the first couple of seasons but then went downhill enough in the 3rd and 4th seasons so that I finally gave up on it). This series so far has done better.
The Vikings have always been more complex than they were portrayed in movies. They traded as much as they raided, and on trading missions reached as far as the southern Mediterranean. This series seems to accurately reflect the history (I'm no expert but have read just a few books, and have visited Iceland and the other Scandinavian countries), portraying the Vikings as intelligent and capable innovators in shipbuilding, navigation, and they were ahead of their time in the the higher status of women compared to most Medieval societies, besides their formidable fighting skills.
The first season sets the stage and develops the main themes and characters who will dominate the rest of the series. The script is intelligent, the acting good, and the cinematography spectacular as it was filmed in Ireland. The first season is off to a strong start and I'll be eager to see if the second season is as strong as the first.",
"4","10","Season 1 had a lot of groundwork for the series to lay out,
and the characters you end up liking don't always do likeable things,
but the story, drama and character acting is well worth the time investment as they set the table for the show in season one.
I watched it a second time through when a family member got started watching it,
and there's so much put into play in this season, watching it a second time was helpful.
The History part is not always spot on (known History is spotty in parts, but obvious changes have been made compared to what we think we know about the times),
but it's a great telling of the story, even if not 100% accurate.
Research the real history,
but beware you could spoil some of the show for yourself.",
"5","8","The picture quality is bad",
"6","10","I've seen all kinds of animes, mostly adult ones because usually they have a better story then kid shows, and I had nothing left to watch so i googled 2013 animes and this one seemed slightly interesting, watched a trailer first and didn't like the trailer, watched the 1st episode and I was hooked, watched the 2nd and i was totally hooked, watched the 3rd and it blew my mind, now I will have to wait every week for an episode daaamn, the first 3 episodes of this anime prove that this anime will be an awesome one, you can foretell that by watching how the first episodes is building up this hype-level of an awesome story which started out sad and is going to become epic and bloody. The concept is unique and I like it. Humans who live inside 50 meters high walls to protect themselves from titans (giants), Eren the main character feels unpleasant about it compared to everybody else because that's not really true freedom for a human to be "livestock" inside walls, waiting to get eaten by titans. One day, and that would be the day they would all remember for eternity, the day when first wall fell and hell broke loose, this is where the story starts. And it just gets better and better! There's a lot of emotional and bloody scenes which usually makes up for a good story. You know those animes that catch your eyes on the first episode, this is one of them.",
"7","10","This anime just keeps me on the edge of my seat. Each week I watch and each week I want more. It's intense. The concept and story line are on point and keep you thrilled and wanting more. The only downside is the seven-day waiting for the next episode. Definitely one of the best anime I have seen. 
I often watch anime for fun and as a means of passing the time away but with this it's different. I can't tear my eyes away for even a second. A masterpiece in the making. I just hope the producers keep this running for longer instead of cutting it short into a 20-something episode thing such as SAO or BTOOOM!.
Do yourself a favor and follow it.",
"8","10","I am not much of an Anime buff, sure I watched my fair share when I was a teenager but most Animes simply do not grab as much as I would like. There is of course Akira and Ninja scroll and stuff like that people in general should watch at least once in their life. The only Anime TV show that I watched from the beginning was Fist of the North Star. A real classic in my opinion.
Seems like I found another show that I consider already a classic in the making. I am proud to say after watching 3 Episodes of |Attack on Titan| I am blown away. The show is nicely paced, the whole plot is so simple, yet strong and the whole concept of having the human race, that consist of mostly German people or so it seems, locked up behind walls is really, really compelling.
The art is superb and a joy to watch. From the Bavarian town over to the great painted landscapes, character design etc. It is all top notch in my opinion.
Stuff like the charging Armored Titan is even for an old timer like just to cool to pass up. What a great scene that was. I cannot wait for the next episode.",
"9","10","This anime is simply amazing! The way it is animated, the soundtrack, the characters, the story, the thrill and the suspense. All in one action-packed anime. One of the best so far. As it has only 9 episodes as of now ... many critics say that it is way too early to rate an anime. But, according to me, this is pure class. The soundtrack's tempo varies according to the situation and this makes it more exciting. The ending of the episode is something that NO one will look forward to as NO one will want it to end. A must watch for every anime lover and of course the manga is available as well. Although a bit gory, the epicness makes up for it! You know those animes that catch your eye from the first episode, this is one of them.",
"10","10","A well made anime. The feel this show gives is just awesome. I always want more of it and one episode a week is just so not fair. Right now I am on 20th episode and it's really getting better.
The show hooked me from the very first episode. How action and emotions connects and make a perfect atmosphere for Titans, monsters who like to eat humans just for fun, and humans, fighting for their existence when stuck inside three walls.How main characters who aren't super powerful yet give a promising touch to the show. And how they show a real management work even when their is anger, fear and blood in the air.
Characters are super cool and feel real unlike regular animes. This show is a guarantee of entertainment. Give it a try.",
